Designator,Value,Package,Mounting,Part Number,Supplier,Qty
"C1, C16, C17, C19, C9",".1uF","0603","SMT","478-1239-2-ND","Digikey","5"
"C10, C15, C18","4.7uF","0603","SMT","1276-6684-2-ND	","Digikey","3"
"C11, C12, C13, C14","47uF","1206","SMT","490-8339-2-ND	","Digikey","4"
"C2, C3, C6, C7","10uF","0805","SMT","1276-2893-2-ND	","Digikey","4"
"C8","1uF","0603","SMT","311-1372-2-ND","Digikey","1"
"IC1","","6TSSOP","SMT","1727-3828-1-ND	","Digikey","1"
"IC15","SN65220DBVR","SOT-223-6","SMT","296-9694-1-ND","Digikey","1"
"IC2","","TO-236-3","SMT","AP2331W-7DICT-ND	","Digikey","1"
"JP3","CONN USB","SMT","SMT","609-4413-ND	","Digikey","1"
"L1, L2","4.7UH 1.9A","SMT","SMT","SRN4018-4R7MTR-ND	","Digikey","2"
"Q3, Q2","","SOT523","SMT","DMG1012TQ-7DICT-ND	","Digikey","2"
"R1, R12, R14, R15, R16, R17, R2","100k","603","SMT","P100KGTR-ND","Digikey","7"
"R3, R4","1.8k","0603","SMT","P1.8KGTR-ND","Digikey","2"
"R5, R6","47","0603","SMT","P47GTR-ND	","Digikey","2"
"SODIMM","","","SMT","571-1473149-4","Mouser","1"
"U1","","DFN","SMT","PAM2306AYPKEDICT-ND	","Digikey","1"
"U2","MICROSD","SMT","SMT","3M5607CT-ND	","Digikey","1"
"U3","2.5V","SOT-353","SMT","AP7115-25SEGDICT-ND	","Digikey","1"
"U4","","","PTH","WM14323CT-ND","Digikey","1"

